moment	social
I felt really happy last week because I got to break my diet and have a few slices of pizza...and then after eating it the next day was happy to get back to working out.	no
I inherited some of my Grandmothers prized possessions which had a lot of meaning to me.	yes
When my sibling went for picnic.	yes
I saw my parents for the first time in a year.	yes
My brother in law, his wife and my neice and nephew came to visit from out of Country.	yes
One of my coworkers brought homemade donuts for the staff today and they're delicious.	yes
My sons made me breakfast in bed unprompted.	yes
I found a quarter in a vending machine.	no
The day with my wife	yes
I talked to my mother on Skype and made her laugh.	yes
I'm happy that I found my steak n shake coupons for buy one get one free milk shakes!	no
We took the children to a local lake with walking path to fish and feed the geese and ducks.	yes
It rained so I didn't have to do a bunch of yard work.	no
I was happy when my friend invited me out to dinner because I hadn't had the chance to see him in a while.	yes
My girlfriend told me that she loved me for the first time.	yes
My mom and sister found a home to live in, when they were previously homeless.	yes
I WENT TO TEMPLE	no
My daughter looking and me and smiling left me happy.	yes
I was happy that I have the entire week off from work, I can relax.	no
I ate tacos at a restaurant.	no
I made my family their favorite dinner last night and they were all happy and thanked me and that made me feel happy as well.	yes
I had a good breakfast at a local deli.	no
I WENT TO SHOPPING	no
I made a village in a game I play and other people started joining it	yes
I got needed exercise and felt comfortable around my peers.	yes
I got ice cream with my family after work!	yes
my birthday, going out to dinner with family and friends.	yes
The fact that I get to watch Gonzaga play in their first national championship game tonight on television.	no
I was complimented on the sweater I wore to work today.	no
I finished work early.	no
Things just managed to work out between me and my girlfriend.	yes
On Sunday we went to a pub and drank a little beer and enjoyed the music and atmosphere.	yes
I was happy when I was playing video games online with a friend living far away.	yes
I was able to help a client today and I felt very proud, useful, and happy - especially because my depression has been making me feel really useless lately.	yes
My boyfriend brought me home my favorite dessert for no reason.	yes
Went with my daughter and her boyfriend to the botanical gardens.	yes
my happiest moment everyday my mom say bye to me when i get ready to go somewhere.	yes
Sitting down at the dinner table to a delicious meal and free flowing conversation with all of my children and my husband.	yes
I found a cute dog toy while online shopping I think is perfect for my friends dog and I look forward to getting it for her.	no
My friend giving me a call when he noticed that I was feeling anxious and overwhelmed made me pretty happy to have someone there for me.	yes
I played the ukulele and practiced some new songs.	no
I made my goal on mturk	no
I got to go to lunch with one of my favorite people.	yes
I Enjoyed having food	no
I went to an Opening Day Baseball game.	no
Found out a game I like to play is getting a major update.	no
I felt happy when I felt tired and overwhelmed by the idea of making dinner and then remembered a recent easy recipe that had been emailed to me I had all the ingredients for.	no
I read a new book by a favorite author.	no
My wife got a raise in her job.	yes
I got to listen to some new music.	no
I got a free pizza via rewards points yesterday evening.	yes
I got a positive result for a client at work.	yes
I was able to do a full hour of research on a topic that had been nagging me.	no
I did not have to go into work today as there was nothing needing my attention.	no
I watched some really good tv shows with my girlfriend	yes
I was able to use my in-store rewards to save money on a shopping purchase.	no
My mother in law got a cash offer on a piece of property that she was selling, which will help make her life a little easier now.	yes
I watched a good episode of a TV show I like.	no
I won a match in a game I was playing.	no
WHEN SOMEBODY COMPLIMENTS ME SINCERELY ON MY WORK,I FELT PROUD AND SUCCESS FULL	yes
I went out for lunch and had a steak.	no
An event that made me happy today was watching someone play a video game.	yes
I had an amazing lunch date with my boyfriend.	yes
Finally got to watch the new Resident Evil movie.	no
I watched a good tv show.	no
Spent the afternoon at my sisters house, watching the kids play in the pool.	yes
"My friend had a cardiac catheterization and was told her ""pipes are pristine""."	yes
I did not have to spend a lot of time packing my lunch for today- I had some conveniently packaged leftovers.	no
I watched the sunset.	no
My parents were able to attend my sons ceremony when he graduated from the program he attended.	yes
I was happy when my son asked me to watch a show with him.	yes
I felt happy when I finished my final physical therapy school internship.	no
I was happy when I realized that work was going to end up being pretty easy today.	no
The time i came to know that my younger sister completed her graduation with good academic marks.	yes
I was able to sleep for a long time.	no
I watched the season finale of Into the Badlands last night and it was fantastic.	no
My son was accepted into a prominent school.	yes
YESTERDAY AT THE CASINO I WON SOME MONEY WHEN I DECIDED TO PLAY POKER AND HIT A COUPLE HOT HANDS.	no
A good friend of mine came in town today for Memorial day weekend.	yes
Completing an insurance claim for the first time in my life.	no
I found out my sister is having a baby.	yes
My dad gifted me a wrist watch.	yes
I got a few extra hours in at work today.	yes
I had a really good dinner because my wife cooks amazing food.	yes
Having the opportunity to be at home by myself for a few hours.	no
Tried a new cheese for a pizza that I made last night and I was really happy about the flavor and texture.	no
I bought a new gun for Counter Strike game.	no
i got to eat a nice plate of food that was really delicious.	no
I was happy to talk to my parents for the first time in a long time.	yes
speding time with my kitty .she is a amazing cat I'm so glad we found her.she loves playing with us and we take great care of here.	no
Played computer games with a friend before bed.	yes
I talked to a friend on the phone that I have not spoken to in months.	yes
last month my son maked a beautiful presentation on their school.	yes
I attended a baseball game in which the Texas Rangers ACTUALLY won.	yes
"I received an ""A"" in my Introductory Screenwriting course here at the University of Chicago."	no
My flowers are trying to peek through the ground, meaning spring is here	no
I've met someone who enjoys things that I love.	yes
Today we went to the air force museum and saw all the military planes.	no
Another event that made me happy was walking my dog.	no
I got to eat  at this burger joint that i had been wanting to go to for a long time and it was delicious.	no
Watching the sunset from my backyard	no
My wife and I watched a Louis CK comedy show on Netflix, it was hilarious.	yes
I bought a delicious lunch of shrimp pupusas after the lecture.	no
I felt happy when I got my boyfriend a fidget spinner.	yes
I got to play rugby tonight	no
My daughter has been registered for her first day of school, later this year.	yes
I GOT A OWN CAR	no
My older son goofed around with me.	yes
My husband and I went to go see guardians of the galaxy 2 and it was so awesome!	yes
I bough new luggage	no
My friend Noah and I gathered ourselves early one morning and drove to San Diego to see a musical artist that we both had admired for years and years live in concert.	yes
I was given a new task at work doing something that I felt was a very good fit for my skills, and also allowed me to learn new things, and I am enjoying the work I'm doing.	no
I WENT TO SHOPPING	no
I received notice that an item I ordered, which was delayed in transit, would be delivered tomorrow.	no
I finally was able to afford a new pair of shoes ive been wanting for at least a year	no
I received a second interview for a job that I want, which makes me happy.	no
I managed to deal with and fix a problem my son was having with his homework.	yes
I was happy to find out today that tomorrow they are making my cubicle the way I want it at work	no
I watched Rick & Morty episodes on the couch while my cat slept on my lap.	no
The gardeners came and mowed the lawn.	yes
Found out my sick dog was going to be okay.	yes
I got to go camping with my bros!	yes
I received compliment from a surgeon on a job well done.	yes
I fixed my car.	no
Going to the gym and exercising made me happy because I was glad I made it there and I was happy I could accomplish the whole class.	no
"I asked the girl that I'm pretty much ""dating"" in a ldr, if she would like to meet in September, she said yes :3"	yes
A friend asked me to take care of their dogs while they were on vacation.	yes
MY BLISSFUL MOMENTS COULD BE DIFFERENT FROM MINE PERHAPS.WHEN I COME HOME,I GET TO GREET THE PET I HAVE MISSED TERRIBLY THAT DAY.	no
In the past 3mth I got a increment in my job n my pay was increase more then I expected .i was very happy	no
I went to a baseball game with a large group of my friends	yes
I WANT TO COLLEGE	no
My husband sent me a love note in my car.	yes
I received my Nintendo Switch back from Nintendo repair shop.	no
I bought a new dining table.	no
I finished a project at work at the end of the day yesterday; it was my goal to finish before I left work.	no
I brought new oven to house its black in color its very easy to prepare breakfast	no
I met a nice dog today.	yes
Eating chocolates during lectures , sitting in last benches in class	no
I left work a half hour early.	no
My daughter didn't use the bathroom for 2 hours last night.	yes
My happiest moment is......for my  birthday my dad presented me a new smart phone surprisingly  that day i was so exited....i cant forget that day in my life,that was my first surprise given by my dad..	yes
With my family member's 4 days trip to Mysore.	yes
I went to Disneyworld with my family and had a fantastic time.	yes
I went out with coworkers for a drink after a meeting, and it was one of the first times I've felt included while working at my job.	yes
I finally made the decision on which telescope I am going to purchase for my first one so am very excited about that.	no
i got a hold of my buddy today, and we're going to go camping while my wife has the baby with her out of town.	yes
Celebrating two birthday in the same week with my family	yes
The process for my team change in the job got initiated.	yes
The Vice President of our company traveled down from Texas to shake my hand	yes
I became incredible happy when I received my paperwork to submit to the state for my plumbing license examination.	no
I just realized that I don't have to go to work tomorrow, so I'll be spending the morning doing things I want to do.	no
I got home 20 minutes earlier than usual after going to work on my new schedule.	no
I ate my favorite kind of food (Chinese food).	no
I visited my brother who lives in a different state.	yes
it rained because my plants needed much needed watering	no
I was happy when I saw the excitement from my kid as she picked blueberries at a farm for the first time.	yes
When I got home from my two week long trip to visit my long-distance girlfriend, she had already mailed me a letter that said she missed me and everything like that.	yes
Playing video games in the evening after not having enough free time to do so last week or over the weekend.	no
I love go to a stadium with my sons to watch the Football game	yes
I got a promotion at work.	yes
Had a pleasant walk around the neighborhood with a good neighbor/friend.	yes
Learning to make a new object in a 3D modeling program.	no
Injustice 2, a game I have been waiting to play for a long time, was finally released and I got to play it.	no
My son was born on February 17, 2017.	yes
I tried to cook a new recipe and not only succeeded, but also enjoyed eating it.	no
I watched 'Inside Out' with my son.	yes
I enjoyed visiting an art gallery with my brother.	yes
There were actually cups in the pantry so I was able to make some tea.	no
Yesterday, I went with my brother to pick out his new puppy.	yes
Bought a new rain coat that is breathable and seems sturdy against rain and wind.	no
Helping my children design and make costumes for World Book day made me happy.	yes
I got a promotion at work.	yes
MY FAMILY VISITED TO ARIYAMAN BEACH NEAR RAMANATHAPURAM	yes
I won a steam gift card through a raffle.	no
My son hit a scored a goal in his soccer game.	yes
I had a great date night with my wife.	yes
I studied for two hours this morning.	no
I bought a new pc game	no
I had the most delicious breakfast burrito this morning.	no
"When I hugged my elderly uncle goodbye at my aunt's funeral home visitation this time yesterday, he smiled at me and said, ""I'm your favorite, aren't I?"""	yes
I was able to play video games for the first time in a few weeks.	no
Today when I was working on mturk I got some extra dollars as bonus from a requestor.That bonus made my day .The bonus was really motivating and appreciating for me.It was very happy for me to receive bonus for my work.	yes
I ate a delicious dinner.	no
I got to pet a cool dog when I was in a wine shop.	no
My husband is home and we can spend time together	yes
"Last night I watched an episode of ""The Waltons"" with my Mom and Little sister Tessa after which I hit the hay and slept like a brick after which I woke up, went to work, got off work early, bought some good food to reset my microbiome then headed"	yes
A customer told me about his vacation.	yes
I got an email that I was going to receive a bonus at work for my success on my latest project.	yes
I got a free junior frosty (ice cream) from a fast food restaurant.	yes
I WENT TO SHOPPING	no
I stepped out of my comfort zone and made a new friend.	yes
my boss appreciated my work and congratulated me that time i more enjoyed	yes
My family went out to eat at 13 Bones steakhouse and had a delicious lunch together.	yes
my daughter came first in her class for drawing	yes
MY LOVER BIRTHDAY	yes
My daughter said daddy for the first time a month ago.	yes
My son getting a cast on so his ankle can heal	yes
I spent the morning doing whatever work I wanted, writing.	no
Rewatching some Buffy the Vampire Slayer episodes reminded me of how awesome that show was.	no
Another event that made me happy in the past 24 hours was being able to reconnect with an old childhood friend.	yes
I went out on a dinner date with a girl I recently met.	yes
I bought a pair of skinny leather pants that fit so nice on me.	no
I learned important things by doing research.	no
I set up an interview for a job.	no
The new caramel M&Ms may be the greatest candy I've ever tasted.	no
My husband got a raise at his job.	yes
I read the paper and feel a lot more informed now	no
I got promoted in League of Legends.	no
Going shopping with daughter and husband was nice.	yes
The first day that I walked 10,000 steps in my exercise program!	no
I got a new pet parrot, and he is already talking words.	yes
I increased my monthly earning on Mturk.	no
Cooking a very nice and yummy dinner for my husband and I.	yes
Reading my daughter her bed time story and then putting her to bed	yes
My favorite NBA team, the Golden State Warriors, swept the Spurs last night and are now on to the NBA Finals.	yes
I got to go shopping at target by myself this morning.	no
I decided to purchase a new video game.	no
A project that into which I had put a lot of time and effort and whose outcome was doubtful actually concluded in a surprising win for me and my team.	yes
Watching, HBO, The leftovers.	no
My wife and I got to spend a date evening together at the public library looking for books to read together.	yes
I got a really awesome email from a professor praising a paper I wrote.	yes
My wife made me a good dinner when she got home.	yes
I was invited to a friends birthday event.	yes
This morning I was able to create a delicious and even very nutrient dense nacho recipe for my breakfast by making some easy and practical substitutions which broke up the monotony of my usual super green smoothie I have and also felt like I was getting away with cheating on my fitness goals.	no
In early April I decided to fly to Honolulu with my Family from the Big Island of Hawaii and really enjoyed the short vacation.	yes
I ate a large amount of ice cream.	no
I got a leash for the cat and took her on a walk.	no
I spoke to my parents on the phone for the first time in about a week.	yes
I helped my mom get things ready for our move	yes
It made me happy that my daughter called me on the phone last night from another state.	yes
I WENT TO SHOPPING	no
I stopped by Pizza Hut and got a pepperoni and sausage stuffed crust pizza.	no
I got food from my favorite japanese restaurant.	no
I WENT TO TEMPLE	no
I got a new computer last month and it is very fast and is a lot of fun to use.	no
I weighed my sick cat this morning, and she didn't lose any weight in the last 24 hours, thank goodness.	no
I don't need to worry about work for some moment	no
I helped one of my friends do promo shoots for a new web series for YouTube.	yes
I completed training so I can process blood on my own.	no
I played the piano and realized I had improved.	no
I had a pleasant 20 minute conversation with my manager before leaving work about random topics like bring your kid to work day, my sister, her siblings, and so on.	yes
I was busy with work today which made me happy because work is not always available.	no
I practiced my guitar for a few hours.	no
My mother gave me ten dollars to get food.	yes
I celebrated my birthday.	no
I PROPOSED TO MY LOVER FOR MARRIAGE	yes
Yesterday i designed on my sister finger nails, which my sister loved and thanked me so much, which made me feel very very happy.	yes
An event that made me happy in the past 24 hours was listening to a coworker that was retiring and hearing how she enjoyed her job.	yes
My parents came visit and we went to the horse races and I won some money.	yes
I finally finished the long-term task for my job.	no
An event that made me happy recently was when my 4 year old daughter scored 9 goals in her soccer game.	yes
AM GOING TO TEMPLE	no
My job interview went well.	no
It rained so I didn't have to mow grass.	no
My wife called me and said she cares me.	yes
Today the guy that I am casually seeing called me on his way back home.	yes
I saw a tiny wild baby bunny for the first time today	no
I saw an improv show with my wife	yes
I organized a family reunion that went very smoothly.	yes
After years of treating coffee drinking as a hobby, I recently tasted the best coffee of my life.	no
My dog was super happy to see me when I got home from lunch.	no
today i drove to a store i do not usually frequent to get myself breakfast however i noticed this store carries the alergy medication i need that most stores do not, convenient.	yes
I got promoted in League of Legends from Gold II to Gold I.	no
I practiced playing the ukulele.	no
i love the movie bahubali that i watched yesterday that made me really happy for a period of time  and i still feel the happiness of it.	no
Now,  I am very happy after spending so much of time together.	yes
Yesterday, I met with my college freind after long time of ignorance that is not tallking to each other and we had nice talking.	yes
Buying my girlfriend a gift for her birthday	yes
My sister had successful gall bladder surgery with no issues.	yes
My girlfriend recalled a date we went on with her friend and they enthused about how wonderful I was for taking her on that date.	yes
I sat on the beach with my husband for a whole afternoon and watch the people there and swam.	yes
I WANT TO COLLEGE	no
Going to get ice cream with my girlfriend	yes
I slept in late today and had nothing important to do all day.	no
I got an A on my managerial accounting final.	no
I took my spouse to the doctor with some concerns and found that there is nothing wrong with him.	yes
I helped a friend assemble some items from Ikea today and he treated me to dinner.	yes
I went outside for a walk.	no
My phone stopped acting up for a while.	no
We bought a new refrigerator	yes
I received an unexpected call about a job that I started today.	yes
i was able to relax and not think about work.	no
When I received an email from my graduating daughter from college that she received a response for an interview within the animation field.	yes
Being told by my wife that my mother raised me right since I wasn't sexist at all.	yes
when I am going to office morning,i have not stuck in traffic ..this is also a happy moment	no
I learned how to swim.	no
I got my iguana potty trained to use the tub	no
I asked out on a date a woman that I have been talking to for the past month, I'm really into her and the fact that she said yes was great!	yes
watching my tv	no
I buy a fire TV and installed Kodi on it.	no
When I found the apple watch I wanted for 70 dollars off made me and my wallet happy	no
I received a call from a friend I had not heard from in a while.	no
I fixed some issues that made using a website I like annoying.	no
I WENT TO MEENAKSHI AMMAN TEMPLE SO I FEEL HAPPY.	no
I got to nap when my daughter napped.	yes
An event that made me happy in the last 3 months was getting engaged to my long time girlfriend during a long weekend at Florida Keys.	yes
MY FAMILY VISITED TO nan BEACH NEAR RAMANATHAPURAM	yes
today i am proposed my love to my boy friend.	yes
My mom and I went out shopping together to various stores.	yes
I discovered a new and inspiring Youtube show about a family living a minimalist lifestyle aboard a boat so I watched ten straight episodes of it happily.	no
I watched some good horror movies over the weekend, including the film Martyrs, which is extremely scary.	no
Going to popeyes has made me happy.	no
I was not part of the group that went offsite at work, thus I did not get stuck in the rain all day.	no
I got the kitchen rehab finished.	no
My organization hosted a very successful event.	yes
I took my dog out for a walk.	no
I ate a hearty dinner and was very satiated.	no
My husband and I went golfing together at a beautiful golf course in beautiful weather.	yes
the day i bought my first DSLR,Photography is my hobby i planned to buy one dslr for more than a year finally i bought last month to click my little baby that day made me happy	no
A friend of mine gave me new computer parts to upgrade my old pc.	yes
I might accept a job offer from another company that I get yesterday made me happy	no
I talked to my parents on the phone.	yes
I had a nice lunch.	no
My mother cooked delicious foods for us it made me happy	yes
MEET MY LOVER	yes
Finishing a work project 2 weeks early	no
I made good money yesterday and today at work.	no
We got some much needed rain and it smelled so good	no
I didn't have to go into work today.	no
I got an A on my math test.	no
Our team won our soccer game yesterday.	yes
MY BEST FRIEND MARRIAGE	yes
yesterday morning i give one gift to my sister and she is very happy to got from me as birthday gift.	yes
My son was delighted by the special haircut he got at the barber today, complete with a zig zag shaved on the side of his head.	yes
I helped my grandpa fix a door and he was thankful	yes
I ate the first mango of this season from my tree yesterday.	no
I received a bonus at work	no
I went for a walk with my son.	yes
I played basketball with my brother.	yes
My exam results are good.	no
I was able to eat pizza	no
I won a match on a video game that I didn't think I had a chance to win.	no
The get together with my friends.we went a long trip of seven days and there are couple of old conversation with rejuvenate the past and comes the smile in our faces.As everyone is almost in good stage all are earning good in their life and after that finally get together brings a smile in our face.	yes
Getting a raise at work.	no
I ate a cupcake.	no
I reached my daily work goal which made me happy.	yes
I exercised at the park, it was fun.	no
Something that made me happy in the last 24 hrs would be waking up to my daughters beautiful smile and sassy personality.	yes
I took my girlfriend to see the new Power Rangers movie, which I had not expected to be good, but it surpassed both our expectations.	yes
I got a new pet, a bird named oliver and I was very happy for that.	no
I realized it's almost payday for my second job and it's gonna pull me out of the past due status on an important bill.	no
The event that made me happy was when I bought my favorite food at a restaurant that we always go to.	no
i went with my family to a wonderful movie after which we had a delicious dinner at a famous hotel yesterday.	yes
I WENT TO TEMPLE	no
My wife is feeling good, we had a talk.	yes
I had made chicken biryani, today afternoon for the first time and it turned out really delicious.	no
I packed for my trip to Los Angeles to see my high school friends and have an informal reunion.	yes
I was happy, when I went for my admission to school for the first time.	no
My boyfriend and I had a good conversation over the phone.	yes
I was able to spend quality time with my family.	yes
Last week I bought a bike online and put it together all by myself for the first time giving me a sense of accomplishment every time I ride it.	no
Watching my kids sing happy birthday to their dad.	yes
Seeing Sigur Ros play with the LA Philharmonic at the Walt Disney Concert Hall	no
I was able to sleep for a long time.	no
I was very happy when I used several coupons and cash back sites at the grocery store and earned cash back on my purchases.	no
Getting a call from an old friend I haven't seen in over a year.	yes
I won 200 gambling!	no
I got a call from my parents telling me some good news.	yes
Had a delicious foreign pastry.	no
I was told that one of my friends did well on his assignment for class.	yes
I talked to my daughter on the phone.	yes
The woman I have been wanting to date flirted with me yesterday afternoon.	yes
A coworker ordered pizza and shared with everyone in back on their breaks.	yes
Today I got the job and right now when i search for the survey you guys are asking this question how co-coincidence it is..	yes
I reached an important milestone in a book that I'm writing.	no
When my wife and I attended Wicked the Broadway show.	yes
I was able to loan my mom money to help throw a better party for her husband's birthday and she was extremely grateful.	yes
I found out that we will be able to get a mortgage for a new home very soon, and I am so happy about that.	no
The recognition of my child in school	yes
I WENT TO TEMPLE	no
I went to Cancun for the first time.	no
My mother brought home some things from Florida to give to me.	yes
BOTH A CAR A NEW ONE	no
My daughter baked a cake for my sons birthday.	yes
I cooked myself dinner and was worried about the recipe but it turned out to be incredibly delicious and I was proud of myself.	no
i have been promoted as senior finance manager	yes
Earning money on the weekend to make starting this work week goals for income easier.	no
I won $500 bucks on a scratch off ticket that I purchased earlier today, I am still pretty much in shock that I won such a large amount.	no
I washed my dog today and now he smells nice.	no
My dog was upset, and she laid down by me for a while to comfort herself and felt better.	no
I booked my hotel for vegas in a month	no
I picked up the new taco bell menu item after work and ate it for dinner.	no
I read a new novel which was so interesting and which made me so happy	no
Yesterday I was going to my friend marriage function	yes
Something that made me happy was I packed for the vacation to the Bahamas we're going on this week!	yes
I was told that i am getting a new job making more money.	no
When I got a 100% on my finals last week it made me happy and proud.	no
Going back to school.	no
I got all my errands done before going to see my friend this weekend.	no
I was chosen for a different position that I applied for at my work and now enjoy it and make more money.	yes
Both of the kids had sleep overs at their friends and I had a rare evening to myself to read.	yes
Watching my favourite team winning the indian premier league, me being a big fan of sachin tendulkar was very happy to watch his team doing very well in the current edition of IPL.	no
Tried a new recipe that turned out great!	no
I got a bunch of medical bills in the mail from my knee operation and my older daughter's trip to the hospital, and they were much less than I thought they would be.	yes
I WENT TO TEMPLE	no
This morning I had an excellent breakfast at home, it consisted of a mix of cereals, sliced bananas, yogurt, cinnamon, milk and raisings.	no
I finally got my big screen TV mounted to the wall.	no
get a new galaxy s8	no
Being able to breath again without being dependent on constantly utilizing an asthma inhaler.	no
I purchased parts I needed for my car.	no
A new pizza place opened up where my previous favorite place closed down.	no
MY BOY FRIEND LOVE FEELING	yes
I attended my church.	yes
I surpassed a level in a video game that I hadn't previously reached.	no
My new boss appreciated the work i put in	yes
I visited my parents after travelling for work for months.	yes
I was accepted in a new job.	no
I went to this really bizarre store with my boyfriend and my daughter that was full of strange wood chainsaw carvings.	yes
Getting a full time position to work from home for my company made me happy and proud.	no
Drove to another state with my friends and climbed two mountains in the same day.	yes
Knowing my daughter is not too sick after visiting the doctor	yes
I got paid today, just in time for my vacation this weekend.	no
I was happy when my husband took me on a weekend getaway.	yes
I turned a closet into a reading nook and painted the walls in an abstract and glittery fashion.	no
My mother made my favorite dinner in the world, her special meatloaf.	yes
My 10 month old puppy swimming in open water for the first time.	no
I got to celebrate Easter with our entire family.	yes
Last night I was able to spend time with family I hadn't seen in a while.	yes
My cousin had his first child.	yes
I was able to purchase a large plot of land to enhance the size of my property for only ten dollars from the state auditor.	yes
I was happy when I read the email of a requester giving me a $3 bonus.	yes
My daughter called to tell me she got a new place to live.	yes
Watching my favorite hockey team on TV.	no
The day with my wife	yes
I just took a leisurely walk with my wife and son and the weather was nice.	yes
I learned about a new application called Discord which lets me communicate with other people online and can replace IRC.	no
My favorite baseball team is currently on a six game winning streak.	yes
I finally got a job interview.	no
I purchased a computer mouse that is more technologically advanced than my previous mouse.	no
My dog learned how to roll over upon command.	no
SUMMER TRIP USEFUL FOR US IT ENRICHES OUR MIND AND DEVELOPED A COSMOPOLITAN OUT LOOK	yes
my mother surprised me by coming home with my favourite cooked meal	yes
My cat slept with me.	yes
I talked with my fiancee on the phone.	yes
Completed a difficult part of a game.	no
My wife kissed me.	yes
I made a grilled cheese and had a beer with it after I mowed -- I love both of those things.	no
We just booked the 17th cabin on our upcoming group cruise.	yes
I WENT TO TEMPLE	no
Me getting a promotion at my job made me very happy and it made me feel appreciated.	no
My mother in law gave me a surprise by gifting me my favourite watch	yes
